Laranjeiras,Carapina,Camburi,Sua,VixCentro,Ibes,VVCentro,Cariacica
27.8333,12.6250,42.1250,24.2917,17.5000,25.4583,19.3333,31.7917
36.6250,23.8333,22.1667,19.4583,16.3750,38.1250,32.0000,54.7500
28.7917,22.1667,26.6250,23.3333,23.8333,18.0417,39.2500,40.7500
30.4167,17.5833,28.3750,16.8333,19.1667,14.0417,45.6250,29.5000
31.1667,20.3750,27.7083,25.9167,31.0000,20.0417,41.9167,41.4167
27.9583,17.4583,21.8333,17.2500,15.6667,15.5833,17.3333,24.7917
28.7917,14.7500,16.8750,12.8750,12.0833,10.7500,25.4583,32.0000
14.0417,17.0833,18.2083,24.4583,17.1250,14.0000,17.6250,29.3333
15.4583,18.7917,31.6667,22.1667,20.1667,14.5000,43.0000,30.4583
15.2500,16.3750,25.2500,18.9583,17.0000,15.6667,31.6667,32.9167
16.6250,24.8750,26.8333,19.6667,27.3750,26.1250,46.6667,47.5417
16.7917,13.0833,23.8333,23.5833,21.1250,17.2083,25.9583,27.5417
22.7917,22.0417,29.3333,19.1250,24.8750,17.5417,29.6250,33.5417
22.8333,21.0833,32.4167,22.2917,25.6250,19.4583,34.0000,48.8750
17.9167,15.0417,17.6667,19.8750,25.0833,17.3750,16.7917,36.9583
26.8333,16.1667,21.0000,27.0833,26.7917,22.7917,33.3750,29.0417
34.7917,22.1667,32.2917,34.7500,30.7917,27.0000,59.3333,42.1250
29.5417,26.2500,27.6667,27.4583,26.9167,28.5833,47.2500,57.9167
28.2917,25.1667,26.2917,32.4167,19.6667,57.3750,28.1667,55.3750
29.2083,20.0000,36.2500,35.2917,27.9583,37.7083,40.7500,58.0000
25.0833,19.8750,34.5833,19.7917,22.4167,14.4167,38.2500,33.3333
20.6250,18.0417,19.9167,18.3333,19.2917,15.4167,24.9167,27.2500
27.6667,20.5833,23.0417,20.4583,22.4167,23.0833,39.0833,33.7083
33.8333,23.4167,32.2083,23.5833,28.3333,21.5833,49.2083,48.7500
34.8333,26.0833,34.2917,27.5833,33.3750,22.2083,52.9583,47.9583
26.6250,25.2500,35.0833,30.2917,31.5417,24.4583,43.7083,49.1250
29.3333,24.1250,37.2500,21.5833,32.3750,23.1250,48.2917,38.1667
24.6667,16.3750,29.0000,15.4583,17.9583,17.9583,14.0000,31.5000
25.7917,22.8333,27.3750,21.8750,20.5000,21.0417,17.2917,31.7500
34.5000,29.7917,31.1250,30.3333,32.7917,27.5833,26.4583,64.2083
24.2083,18.8333,28.0833,15.4167,20.4167,18.1250,12.4167,38.8750
28.7917,21.1250,27.0000,22.4583,15.5417,26.0000,16.1667,31.1667
27.8750,17.6667,30.4583,21.1250,14.0833,22.0000,21.1250,31.3750
31.5833,21.1667,28.2917,21.7917,25.3333,24.8750,18.3750,58.5000
30.1667,27.0417,29.2500,22.7917,23.7917,27.1667,19.9167,44.5833
27.8333,18.2083,15.2500,19.0417,20.4167,27.2083,23.0000,22.5000
33.0417,25.7917,28.0417,25.5833,26.6250,42.9167,25.2917,43.7917
32.1667,19.8750,22.7083,22.2083,22.1250,27.1667,19.7083,48.1667
23.4583,16.7917,22.5000,19.8750,21.1667,24.5833,16.9583,41.3333
26.1667,28.5000,33.4167,27.2917,29.0417,31.0000,22.6667,45.2917
31.1667,24.0833,35.3333,20.1250,19.1250,27.9583,23.7917,46.6667
29.8750,19.8333,31.5000,17.0833,18.8333,24.7083,17.8333,34.7083
17.6250,14.7500,17.3333,22.2917,16.5417,20.7917,16.3333,18.0000
29.5000,18.2500,24.2917,23.1667,24.5000,31.7917,25.2917,44.9583
30.4167,20.2083,23.5833,24.1667,23.9583,38.5833,24.6250,40.5000
31.6250,23.6250,32.2500,25.4583,26.7917,31.1250,25.1667,48.3750
24.9583,18.0000,29.6250,20.5000,23.9583,19.9583,17.1667,41.0000
26.1667,28.7083,36.6250,32.0000,30.3333,40.7500,28.3333,55.1667
44.3333,19.0000,29.3333,23.6250,23.4167,23.1667,17.7500,37.2500
20.1250,14.6250,22.5417,15.0000,16.9167,14.6250,12.0417,26.3750
27.1250,23.2500,20.1667,20.3333,19.6250,20.4167,16.4167,46.8750
28.2500,25.7917,33.9167,22.1250,26.8333,27.0000,25.2500,58.9583
39.1667,28.0833,30.9583,23.0417,17.0000,29.1667,18.7917,51.3333
37.9583,27.9167,32.3333,22.4167,26.8333,34.9167,51.2500,48.2500
23.5000,22.8750,24.5417,25.8750,26.0833,40.5417,54.4583,40.8750
23.0417,16.5417,32.2083,16.7500,25.3750,20.7083,37.7083,31.3333
20.3750,17.9583,21.4583,16.0417,20.6250,21.0833,37.5417,29.5000
25.3750,24.2083,23.1667,20.7083,23.0417,24.1250,40.5000,42.4167
43.2500,30.6250,39.0833,25.2500,28.4583,30.4167,43.1667,53.3333
35.6667,26.8750,43.5833,33.2917,29.0833,31.2500,45.0833,42.5417
39.7917,23.7500,33.0000,20.8750,16.5000,34.5417,43.4167,44.7917
42.5833,33.3333,49.8750,37.5000,34.6250,50.2083,73.9167,63.5417
43.8333,26.0833,35.9167,23.2500,16.9167,28.0833,38.7917,47.2917
29.6667,29.7083,27.2500,28.9167,25.8333,30.9167,31.0417,54.7083
19.2917,13.5000,15.0417,15.0000,17.3333,15.7500,22.7083,26.1250
34.3333,22.3333,33.5000,23.4583,19.8750,31.6250,38.0000,40.0833
44.1250,25.9167,32.2917,25.7917,21.0833,31.5833,43.0417,41.1250
21.8750,17.7083,21.7917,22.2917,18.4583,18.8333,29.7917,29.0833
32.2917,25.7917,39.4583,30.6667,30.6250,29.7917,68.5417,46.7083
25.3333,21.0417,29.2500,25.0417,22.0833,21.2500,34.7500,35.6667
17.1667,18.1667,21.5833,21.0833,18.5417,16.0000,21.5417,39.4583
16.1667,12.9167,24.4167,23.5000,24.2083,19.5833,24.0417,29.5417
24.5833,27.4167,30.5000,32.1250,32.5000,28.0833,41.2083,58.6667
26.9167,24.7917,30.5833,32.5000,30.8333,33.2500,46.4583,43.6250
23.9167,31.2500,34.7500,32.4583,25.7500,33.2083,58.0000,46.5000
13.0833,13.7083,22.8333,26.3333,24.2917,25.4167,34.9167,33.5833
18.2917,19.7917,23.8750,24.4167,23.5833,16.5833,34.1250,31.6667
16.8750,16.1250,16.2500,14.8750,13.7083,11.2500,18.5000,27.3750
17.7917,19.3333,22.5000,22.4583,24.0833,19.3333,42.6667,31.8333
21.2500,19.2917,29.5000,25.2917,23.8750,22.4583,59.5417,40.9583
44.1250,27.0417,41.5000,33.6667,34.8333,44.8750,73.5000,70.7083
43.3333,32.3333,34.2083,36.5000,34.7083,53.5417,89.2500,67.2500
26.4167,32.3333,46.7500,41.3333,31.5000,48.7500,68.7917,48.7500
13.4583,15.3333,21.1667,23.7083,22.0417,15.3750,37.7083,30.3750
16.9583,14.8750,22.8750,15.5000,17.2500,17.9583,25.0000,36.7917
38.1250,24.4167,26.2083,20.9167,20.8750,27.2917,42.0833,51.8750
34.3750,18.0833,35.3333,23.7083,22.6250,28.2500,33.0417,41.0417
